Exercício,Vídeo
Peck deck aberto / crucifixo,https://youtube.com/shorts/T_ElIOHHYFo?feature=share
Elevação frontal com halteres alternado,https://youtube.com/shorts/eeFLIOQjLuU?feature=share
Tríceps testa com barra W,https://youtube.com/shorts/Hiolc8ceqQ8?feature=share
Tríceps francês com corda na polia,https://youtube.com/shorts/QjM7oBljoKU?feature=share
Tríceps pulley invertido,https://youtube.com/shorts/UnklnssKI0s?feature=share
Cadeira abdutora deitada,https://youtube.com/shorts/jJsOYyjuBJ4?feature=share
Agachamento hack angular elástico unilateral,https://youtube.com/shorts/lP2djAIz7UU?feature=share
Passo lateral com elástico na coxa,https://youtube.com/shorts/Bf0n52AXrIQ?feature=share
Passada com foco em glúteos,https://youtube.com/shorts/inlcyiYWTSk?feature=share
Puxada frente com triângulo,https://youtube.com/shorts/yIQZj8F417s?feature=share
Puxada frente barra romana,https://youtube.com/shorts/xAf8ich8eb4?feature=share
Remada alta unilateral em pé na polia alta,https://youtube.com/shorts/6v9T1pV3xaM?feature=share
Tríceps testa no banco com halteres bilateral,https://youtube.com/shorts/-sj3dZ5yzIk?feature=share
Prancha com pés na bola,https://youtube.com/shorts/pdzpOURKy4w?feature=share
Levantamento terra sumô com halter e step,https://youtube.com/shorts/e0RVmQmG85w?feature=share
Elevação pélvica com abdução e elástico no step,https://youtube.com/shorts/KHjk8lI4md8?feature=share
3 apoios com caneleira e joelho estendido,https://youtube.com/shorts/kzQ7Ct8l7tg?feature=share
Stiff com barra,https://youtube.com/shorts/Vlo6PuPNc8Q?feature=share
Supino inclinado 30° com halteres,https://youtube.com/shorts/iDBF8LsfiOA?feature=share
Crucifixo mais musculoso na polia,https://youtube.com/shorts/hdbieWR2jt4?feature=share
Flexão de braços,https://youtube.com/shorts/RnGJ1AyUjqU?feature=share
Elevação lateral na polia entre as pernas,https://youtube.com/shorts/jgfmgZToAyU?feature=share
Crucifixo invertido curvado com halteres,https://youtube.com/shorts/wjwhh6ASyBs?feature=share
V up contralateral,https://youtube.com/shorts/PD4k3RKjBUY?feature=share
Abdominal oblíquo de lado com pernas estendidas no solo,https://youtube.com/shorts/GG_KsWrljuI?feature=share
Cadeira extensora unilateral,https://youtube.com/shorts/oiog2_tljxc?feature=share
Elevação pélvica na máquina,https://youtube.com/shorts/ikmJnssmXfc?feature=share
Agachamento búlgaro com halteres,https://youtube.com/shorts/M0yVcm6_kTI?feature=share
Afundo completo + parcial em cima,https://youtube.com/shorts/_c0Glds6RYw?feature=share
Prancha frontal,https://youtube.com/shorts/QhV686EYrqg?feature=share
Prancha lateral,https://youtube.com/shorts/0HDYo2RL7FA?feature=share
Remada baixa com triângulo,https://youtube.com/shorts/Y7LJe0fXOc8?feature=share
Remada unilateral com halteres,https://youtube.com/shorts/2IWdImOcoTM?feature=share
Pulldown com corda,https://youtube.com/shorts/wYnO1V2WLvc?feature=share
Crucifixo invertido em pé unilateral na polia,https://youtube.com/shorts/qywq2mp5Ka8?feature=share
Desenvolvimento arnold em pé,https://youtube.com/shorts/9k6CV-Knqas?feature=share
Abdução de quadril com caneleira,https://youtube.com/shorts/WzlBQLSfO4U?feature=share
Elevação pélvica unilateral no step,https://youtube.com/shorts/05gNRWzyApw?feature=share
Step up,https://youtube.com/shorts/WeMT8V5fYO0?feature=share
Terra com barra e step,https://youtube.com/shorts/yG-zJsgmkR8?feature=share
Mesa flexora unilateral,https://youtube.com/shorts/zkI5NqNZK1s?feature=share
Stiff unilateral com halteres sem step,https://youtube.com/shorts/fWplI_GZXFk?feature=share
Panturrilha unilateral no leg press,https://youtube.com/shorts/BNanhTxzBsQ?feature=share
Crucifixo na polia alta,https://youtube.com/shorts/xXFHwvz6eCo?feature=share
Tríceps supinado barra baixa no smith,https://youtube.com/shorts/nJzQKmacXlI?feature=share
Rosca direta com rotação,https://youtube.com/shorts/Rov9y1k0FjY?feature=share
Rosca direta na polia unilateral,https://youtube.com/shorts/sHm3JEhgg24?feature=share
Tríceps francês unilateral na polia,https://youtube.com/shorts/2Hoys6kL-NQ?feature=share
Manguito externo com halter banco 30°,https://youtube.com/shorts/ZdqC_fP6IrU?feature=share
Crucifixo declinado na polia sentado,https://youtube.com/shorts/q_e-4i6FTVE?feature=share
Peck deck Aberto/Crucifixo,https://youtube.com/shorts/T_ElIOHHYFo?feature=share
Tríceps francês com um halteres,https://youtube.com/shorts/J6yXF22pXMc?feature=share
Triceps pulley corda,https://youtube.com/shorts/wuAm6gUPEVU?feature=share
Desenvolvimento Arnold sentado,https://youtube.com/shorts/ioVNd6I5wvo?feature=share
Elevação frontal com halteres sentado,https://youtube.com/shorts/ygDTgFepCNU?feature=share
Crucifixo invertido curvado na polia unilateral,https://youtube.com/shorts/YNREDK3_as4?feature=share
Elevação Y na Polia,https://youtube.com/shorts/RJtcCOUFR0U?feature=share
Abdominal Crunch,https://youtube.com/shorts/1CayVH6J4A8?feature=share
Prancha Lateral,https://youtube.com/shorts/0HDYo2RL7FA?feature=share
Abdominal Infra com Apoio,https://youtube.com/shorts/yBVHor8pp9M?feature=share
